category,premium,52KH,30avg,jk,52KL,last_update,range,cname,disct,SID,current_price,volumn
zhaij,0%,1.67,18.51万,1.448,1.103,,60.85,广发聚利,,SZ162712,￥1.448,14.48亿
封闭债基,4.11%,1.338,51.72万,1.112,0.892,,49.78,诺安纯债,-1.65%,SZ163210,￥1.114,3.90亿
封闭债基,-0.10%,1.109,133.37万,1.009,0.949,,38.13,富国天锋,0.06%,SZ161019,￥1.010,4.38亿
zhaij,0.09%,1.23,1889.57万,1.105,1.011,,42.92,富国天丰,,SZ161010,￥1.105,19.58亿
封闭债基,0.28%,1.173,84.01万,1.063,0.918,,58.04,民生增利,-0.13%,SZ166902,￥1.066,17.88亿
封闭债基,-1.44%,1.189,34.70万,1.011,0.953,,25.42,万家强债,0.55%,SZ161911,￥1.013,3.16亿
zhaij,-0.01%,1.422,35.88万,1.043,0.958,,18.32,中欧强债,,SZ166008,￥1.043,26.74亿
封闭债基,0.59%,1.29,12.27万,1.021,0.937,,24.36,工银四季,,SZ164808,￥1.023,17.34亿
封闭债基,6.93%,1.244,8.67万,1.179,0.932,,62.5,添富季红,-3.88%,SZ164702,￥1.127,4.65亿
zhaij,0.10%,1.022,-,1.007,1.002,,30.0,天弘同利,,SZ164210,￥1.008,4.07亿
zhaij,0.28%,1.949,12.13万,1.779,1.035,,81.4,易基岁丰,,SZ161115,￥1.779,1.75亿
zhaij,-0.76%,117.40,1596.00,116.798,95.01,,97.31,企债ETF,,SH511210,￥116.798,9331.87万
zhaij,-1.17%,101.00,2.07万,100.85,85.911,,98.87,城投ETF,,SH511220,￥100.830,61.84亿
zhaij,-0.22%,118.00,155.11万,113.671,99.70,,76.84,国债ETF,,SH511010,￥113.762,6.49亿
zhaij,3.36%,120.201,3.49万,113.242,93.715,,73.57,鹏华前海,,SZ184801,￥113.200,33.96亿
封闭债基,-0.10%,1.598,2.28万,1.048,0.921,,19.05,南方聚利,0.58%,SZ160131,￥1.050,22.97亿
